2
Dumping Log 2,    start pg 3,   end pg 57
id    longitude    latitude    altitude    pitch    roll    yaw
0    109.3740300    23.7204800    86.1700    -1.89    -3.85    176.76
1    109.3740400    23.7204800    86.0300    -2.78    -8.70    192.48
2    109.3727600    23.7236670    542.8400    4.84    9.54    167.06
3    109.3729600    23.7232550    540.0800    1.20    -7.99    165.20
4    109.3732500    23.7228740    540.4300    2.45    3.33    161.23
5    109.3734700    23.7224690    538.9000    3.00    -6.18    169.75
6    109.3737500    23.7220820    536.4800    1.34    1.46    160.98
7    109.3740000    23.7216820    537.7500    3.46    -9.08    167.52
8    109.3742800    23.7213080    533.0800    -0.52    3.33    158.60
9    109.3745100    23.7208920    535.7000    2.41    -12.94    163.70
10    109.3748100    23.7205090    534.0100    3.82    9.26    168.73
11    109.3750300    23.7201020    534.9000    4.89    -3.17    173.41
12    109.3753000    23.7197210    537.6500    4.53    5.95    171.98
13    109.3755300    23.7193260    535.8300    0.88    0.38    166.19
14    109.3758100    23.7189480    536.0600    1.33    -0.93    162.43
15    109.3760800    23.7185340    537.7300    3.10    2.50    161.74
16    109.3763000    23.7181490    538.4300    8.44    0.29    184.28
17    109.3765500    23.7177490    539.6700    4.34    4.46    168.05
18    109.3768200    23.7173600    538.1500    7.27    1.73    177.98
19    109.3771000    23.7169720    536.4700    2.22    9.24    160.99
20    109.3773000    23.7165430    534.8400    4.91    -14.88    173.12
21    109.3775700    23.7161640    536.4700    4.14    7.18    154.64
22    109.3778500    23.7157630    534.0800    1.83    -6.89    161.57
23    109.3781300    23.7153890    533.8300    2.24    1.41    163.77
24    109.3783400    23.7149830    534.8900    1.41    -7.45    154.69
25    109.3786100    23.7145920    533.5000    3.28    -0.27    164.57
26    109.3788500    23.7141840    537.8700    5.02    2.12    165.41
27    109.3791400    23.7137990    544.2700    1.32    -2.59    158.87
28    109.3794200    23.7134110    541.9300    0.81    -1.21    160.20
29    109.3796800    23.7130280    542.1400    6.61    0.86    181.87
